,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month
2465,GSW @ LAC 2015-11-19,LAC,240.0,44.0,88.0,0.5,13.0,29.0,0.44799999999999995,16.0,24.0,0.667,9.0,26.0,35.0,21.0,11.0,2.0,10.0,25.0,117.0,,0.594,0.574,0.33,0.273,20.0,76.5,44.3,47.7,11.2,4.7,9.2,100.0,119.5,126.7,201511
2466,GSW @ LAC 2016-02-20,GSW,240.0,42.0,82.0,0.512,11.0,31.0,0.355,20.0,26.0,0.769,6.0,33.0,39.0,32.0,8.0,2.0,14.0,19.0,115.0,,0.615,0.579,0.37799999999999995,0.317,15.0,68.8,44.3,76.2,8.1,3.4,13.0,100.0,116.3,113.2,201602
2467,GSW @ LAC 2016-02-20,LAC,240.0,42.0,94.0,0.447,13.0,36.0,0.361,15.0,18.0,0.833,15.0,34.0,49.0,24.0,9.0,2.0,14.0,24.0,112.0,,0.5489999999999999,0.516,0.38299999999999995,0.191,31.3,85.0,55.7,57.1,9.1,3.9,12.1,100.0,113.2,116.3,201602
2468,GSW @ LAC 2016-12-07,GSW,240.0,42.0,89.0,0.47200000000000003,7.0,31.0,0.226,24.0,29.0,0.828,12.0,34.0,46.0,32.0,11.0,5.0,10.0,24.0,115.0,,0.565,0.511,0.348,0.326,28.6,66.7,49.5,76.2,11.5,7.6,8.9,100.0,120.5,102.7,201612
2469,GSW @ LAC 2016-12-07,LAC,240.0,36.0,92.0,0.391,8.0,26.0,0.308,18.0,24.0,0.75,17.0,30.0,47.0,15.0,3.0,2.0,13.0,24.0,98.0,,0.478,0.435,0.28300000000000003,0.261,33.3,71.4,50.5,41.7,3.1,3.4,11.2,100.0,102.7,120.5,201612
2470,GSW @ LAC 2017-02-02,GSW,240.0,52.0,99.0,0.525,14.0,34.0,0.41200000000000003,15.0,18.0,0.833,15.0,31.0,46.0,38.0,10.0,2.0,11.0,26.0,133.0,,0.622,0.596,0.34299999999999997,0.182,34.9,77.5,55.4,73.1,10.0,3.6,9.3,100.0,132.6,119.6,201702
2471,GSW @ LAC 2017-02-02,LAC,240.0,40.0,80.0,0.5,10.0,25.0,0.4,30.0,39.0,0.769,9.0,28.0,37.0,24.0,7.0,7.0,15.0,18.0,120.0,,0.618,0.563,0.313,0.488,22.5,65.1,44.6,60.0,7.0,10.8,13.4,100.0,119.6,132.6,201702
2472,GSW @ LAC 2017-10-30,GSW,240.0,52.0,89.0,0.584,14.0,29.0,0.483,23.0,30.0,0.767,14.0,32.0,46.0,37.0,8.0,8.0,12.0,23.0,141.0,,0.69,0.6629999999999999,0.326,0.337,35.0,78.0,56.8,71.2,8.1,13.1,10.5,100.0,142.3,114.1,201710
2473,GSW @ LAC 2017-10-30,LAC,240.0,39.0,86.0,0.45299999999999996,10.0,25.0,0.4,25.0,30.0,0.833,9.0,26.0,35.0,21.0,4.0,3.0,12.0,20.0,113.0,,0.57,0.512,0.29100000000000004,0.349,22.0,65.0,43.2,53.8,4.0,5.0,10.8,100.0,114.1,142.3,201710
2474,GSW @ LAC 2018-01-06,GSW,240.0,39.0,94.0,0.415,13.0,39.0,0.33299999999999996,30.0,37.0,0.8109999999999999,14.0,40.0,54.0,31.0,13.0,10.0,16.0,25.0,121.0,,0.5489999999999999,0.484,0.415,0.39399999999999996,28.6,80.0,54.5,79.5,11.9,12.5,12.7,100.0,111.1,96.4,201801
2475,GSW @ LAC 2018-01-06,LAC,240.0,39.0,91.0,0.429,3.0,11.0,0.273,24.0,30.0,0.8,10.0,35.0,45.0,19.0,10.0,7.0,18.0,25.0,105.0,,0.504,0.445,0.121,0.33,20.0,71.4,45.5,48.7,9.2,12.7,14.7,100.0,96.4,111.1,201801
2476,GSW @ LAL 2016-01-05,GSW,240.0,40.0,86.0,0.465,13.0,31.0,0.419,16.0,21.0,0.762,10.0,44.0,54.0,26.0,9.0,9.0,10.0,17.0,109.0,,0.5720000000000001,0.541,0.36,0.244,21.3,74.6,50.9,65.0,9.4,12.9,9.5,100.0,113.5,91.6,201601
2477,GSW @ LAL 2016-01-05,LAL,240.0,29.0,91.0,0.319,5.0,21.0,0.23800000000000002,25.0,30.0,0.833,15.0,37.0,52.0,15.0,7.0,4.0,12.0,16.0,88.0,,0.42200000000000004,0.34600000000000003,0.231,0.33,25.4,78.7,49.1,51.7,7.3,7.3,10.3,100.0,91.6,113.5,201601
2478,GSW @ LAL 2016-03-06,GSW,240.0,37.0,92.0,0.402,4.0,30.0,0.133,17.0,21.0,0.81,17.0,32.0,49.0,32.0,5.0,3.0,20.0,20.0,95.0,,0.469,0.424,0.326,0.228,34.7,78.0,54.4,86.5,5.1,4.8,16.5,100.0,96.9,114.3,201603
2479,GSW @ LAL 2016-03-06,LAL,240.0,41.0,87.0,0.47100000000000003,9.0,25.0,0.36,21.0,22.0,0.955,9.0,32.0,41.0,23.0,12.0,6.0,11.0,24.0,112.0,,0.579,0.523,0.287,0.253,22.0,65.3,45.6,56.1,12.2,9.7,10.2,100.0,114.3,96.9,201603
2480,GSW @ LAL 2016-11-04,GSW,240.0,39.0,86.0,0.45299999999999996,5.0,32.0,0.156,14.0,20.0,0.7,9.0,31.0,40.0,26.0,13.0,3.0,20.0,13.0,97.0,,0.512,0.483,0.37200000000000005,0.233,20.5,66.0,44.0,66.7,12.7,4.6,17.4,100.0,94.7,114.2,201611
2481,GSW @ LAL 2016-11-04,LAL,240.0,45.0,95.0,0.474,8.0,30.0,0.267,19.0,21.0,0.905,16.0,35.0,51.0,26.0,9.0,5.0,16.0,19.0,117.0,,0.561,0.516,0.316,0.221,34.0,79.5,56.0,57.8,8.8,9.3,13.3,100.0,114.2,94.7,201611
2482,GSW @ LAL 2016-11-25,GSW,240.0,43.0,83.0,0.518,11.0,28.0,0.39299999999999996,12.0,17.0,0.706,4.0,40.0,44.0,31.0,10.0,10.0,17.0,21.0,109.0,,0.602,0.584,0.337,0.205,11.4,74.1,49.4,72.1,9.9,14.7,15.8,100.0,107.4,83.7,201611
2483,GSW @ LAL 2016-11-25,LAL,240.0,32.0,90.0,0.35600000000000004,5.0,22.0,0.22699999999999998,16.0,23.0,0.696,14.0,31.0,45.0,20.0,12.0,3.0,18.0,16.0,85.0,,0.424,0.38299999999999995,0.244,0.256,25.9,88.6,50.6,62.5,11.8,5.5,15.2,100.0,83.7,107.4,201611
2484,GSW @ LAL 2017-11-29,GSW,265.0,47.0,94.0,0.5,12.0,30.0,0.4,21.0,28.0,0.75,12.0,37.0,49.0,30.0,10.0,4.0,22.0,19.0,127.0,,0.597,0.564,0.319,0.298,30.8,84.1,59.0,63.8,8.9,5.6,17.1,100.0,112.6,109.1,201711
2485,GSW @ LAL 2017-11-29,LAL,265.0,47.0,95.0,0.495,9.0,24.0,0.375,20.0,25.0,0.8,7.0,27.0,34.0,30.0,12.0,5.0,17.0,23.0,123.0,,0.58,0.542,0.253,0.263,15.9,69.2,41.0,63.8,10.6,7.8,13.8,100.0,109.1,112.6,201711
2486,GSW @ LAL 2017-12-18,GSW,265.0,43.0,107.0,0.402,11.0,34.0,0.324,19.0,21.0,0.905,15.0,46.0,61.0,25.0,6.0,10.0,14.0,26.0,116.0,,0.499,0.45299999999999996,0.318,0.196,28.3,86.8,57.5,58.1,5.4,14.9,10.7,100.0,105.1,103.3,201712
2487,GSW @ LAL 2017-12-18,LAL,265.0,41.0,92.0,0.446,10.0,25.0,0.4,22.0,35.0,0.629,7.0,38.0,45.0,23.0,9.0,9.0,12.0,26.0,114.0,,0.531,0.5,0.272,0.38,13.2,71.7,42.5,56.1,8.2,12.3,10.1,100.0,103.3,105.1,201712
2488,GSW @ MEM 2015-11-11,GSW,240.0,36.0,75.0,0.48,11.0,27.0,0.40700000000000003,17.0,23.0,0.7390000000000001,7.0,29.0,36.0,22.0,12.0,8.0,23.0,30.0,100.0,,0.5870000000000001,0.5529999999999999,0.36,0.307,18.4,74.4,46.8,61.1,12.5,14.5,21.3,100.0,104.0,87.4,201511
2489,GSW @ MEM 2015-11-11,MEM,240.0,24.0,70.0,0.34299999999999997,3.0,15.0,0.2,33.0,36.0,0.917,10.0,31.0,41.0,15.0,14.0,5.0,21.0,26.0,84.0,,0.489,0.364,0.214,0.514,25.6,81.6,53.2,62.5,14.6,10.4,19.7,100.0,87.4,104.0,201511
2490,GSW @ MEM 2016-04-09,GSW,240.0,39.0,87.0,0.44799999999999995,10.0,36.0,0.278,12.0,13.0,0.9229999999999999,7.0,41.0,48.0,20.0,3.0,7.0,11.0,14.0,100.0,,0.539,0.506,0.414,0.149,15.9,70.7,47.1,51.3,3.2,9.3,10.6,100.0,107.2,106.2,201604
2491,GSW @ MEM 2016-04-09,MEM,240.0,37.0,96.0,0.385,7.0,21.0,0.33299999999999996,18.0,20.0,0.9,17.0,37.0,54.0,19.0,8.0,4.0,6.0,16.0,99.0,,0.47200000000000003,0.42200000000000004,0.21899999999999997,0.20800000000000002,29.3,84.1,52.9,51.4,8.6,7.8,5.4,100.0,106.2,107.2,201604
2492,GSW @ MEM 2016-12-10,GSW,240.0,34.0,77.0,0.442,9.0,27.0,0.33299999999999996,12.0,20.0,0.6,10.0,32.0,42.0,15.0,6.0,8.0,23.0,23.0,89.0,,0.519,0.5,0.35100000000000003,0.26,21.7,74.4,47.2,44.1,6.2,13.1,21.1,100.0,92.1,113.9,201612
2493,GSW @ MEM 2016-12-10,MEM,240.0,38.0,87.0,0.43700000000000006,8.0,26.0,0.308,26.0,29.0,0.897,11.0,36.0,47.0,23.0,10.0,5.0,10.0,19.0,110.0,,0.551,0.483,0.299,0.33299999999999996,25.6,78.3,52.8,60.5,10.4,10.0,9.1,100.0,113.9,92.1,201612
2494,GSW @ MEM 2017-02-10,GSW,240.0,39.0,77.0,0.506,15.0,33.0,0.455,29.0,38.0,0.763,5.0,29.0,34.0,31.0,14.0,13.0,12.0,26.0,122.0,,0.6509999999999999,0.604,0.429,0.494,14.7,61.7,42.0,79.5,14.3,21.3,11.4,100.0,124.3,109.0,201702
2495,GSW @ MEM 2017-02-10,MEM,240.0,34.0,87.0,0.391,9.0,26.0,0.34600000000000003,30.0,37.0,0.8109999999999999,18.0,29.0,47.0,20.0,6.0,4.0,18.0,28.0,107.0,,0.518,0.44299999999999995,0.299,0.425,38.3,85.3,58.0,58.8,6.1,9.1,14.8,100.0,109.0,124.3,201702
