,MIA,ORL,SAS,HOU,NOP,DAL,PHX,ATL,LAC,LAL,MEM,CHA,OKC,GSW,SAC,WAS,DEN,IND,PHI,BKN,NYK,UTA,CLE,CHI,BOS,DET,MIL,TOR,MIN,POR
MEM,1403.0649862427529,1098.4242470731942,1011.8683135195242,778.432582431554,575.4949412861984,676.6629873571367,2031.8798383366143,541.6361522273776,2582.7855211676347,2582.7855211676347,0.0,838.6219656355082,679.7026856192932,2882.9687884928817,2817.799002567647,1230.912070720226,1416.848416159988,618.1744613681866,1415.3212745106398,1538.795055866939,1539.67748637637,2013.2002141781632,1015.4004582004751,776.5176817632067,1829.7228387019138,1025.0652492452243,896.7420650618044,1315.7078958405696,1126.5784833609114,2976.330397922066
CHA,1048.750372389455,743.072742441098,1774.005374403763,1491.7172450044459,1045.6557931478274,1497.9605114474998,2868.77517197973,364.8377604301143,3413.8161949052837,3413.8161949052837,838.6219656355083,0.0,1514.1726983935698,3686.7574847131305,3613.961634172248,530.5771251169178,2188.2733898641677,688.7189940042414,720.9985778003874,854.5542751643146,858.5415600652891,2781.22026822838,700.1507726139183,948.3643429344761,1160.5290023688322,855.2215997156517,1061.08295696351,943.0802720281239,1512.318230291857,3684.7045443932125
OKC,1973.0881193191392,1703.6642430073537,674.9927381630476,664.8941582932649,926.6260227610609,303.5305637061474,1354.8398345912397,1217.079759350257,1903.094797808563,1903.094797808563,679.7026856192933,1514.17269839357,0.0,2216.822718510561,2157.6595467472916,1855.1488399929358,814.3560213788022,1109.581387512125,2025.6139609474108,2137.924791795487,2137.421687028658,1389.9132457382264,1531.6348391601484,1112.6388735501107,2407.21736181901,1469.769893697371,1179.3924224711504,1798.2253387131002,1116.129128846197,2393.2383433719647
GSW,4156.273259158012,3909.8685983117684,2382.7763805763852,2629.261667896748,3079.0092360909944,2367.055850960602,1034.0961197451827,3424.5878139209,543.4620437599048,543.4620437599048,2882.9687884928817,3686.7574847131305,2216.822718510561,0.0,116.41924266318173,3912.0017930192166,1508.7455568295015,3120.1356112352564,4043.6519657503054,4125.43398713108,4122.360806876812,949.4546292439388,3471.44993350323,2971.3795859353854,4327.47298157537,3330.867177933285,2948.090626129393,3636.7302613399875,2534.093487482328,865.07947904636
SAC,4108.83163053896,3856.472632936387,2355.0576464881656,2593.3763432796663,3033.1259886659814,2320.0472857724635,1027.6912796643765,3358.9975579926313,588.4574116275708,588.4574116275708,2817.799002567647,3613.9616341722485,2157.6595467472916,116.41924266318142,0.0,3827.530343012605,1429.3660162561835,3036.9859714027593,3956.1107301892553,4035.75954239564,4032.5494656871692,857.1004300907857,3382.2177836871438,2882.2628159871338,4233.519012671702,3238.9128691197047,2855.65103752207,3541.9893397793867,2435.571724795063,770.316086813915
WAS,1484.5115475171744,1217.6214793956647,2228.8686979422305,1963.804066369517,1554.9799459841515,1907.000142951167,3190.594465110708,873.4802639159287,3703.9990439054677,3703.9990439054677,1230.912070720226,530.5771251169177,1855.1488399929362,3912.0017930192166,3827.530343012605,0.0,2405.3663682272127,793.0878661026406,194.3558340591655,327.6070615273117,330.84405334947525,2973.320575630985,490.98183551192693,962.4302336561772,634.1287384086872,673.4073523500541,1025.075314834498,562.7632228842924,1504.0490946584366,3787.591014613936
DEN,2778.9525988013456,2497.1701510893986,1293.0358104432783,1415.9055965140924,1740.878534867503,1066.1534324312947,942.0038009784349,1951.5230234998005,1338.7466857927416,1338.7466857927416,1416.8484161599881,2188.2733898641677,814.3560213788023,1508.7455568295015,1429.3660162561832,2405.3663682272127,0.0,1612.5913002569348,2542.375308287751,2629.976909401918,2627.3615221003056,597.057075184099,1976.6557950012536,1478.8765390549968,2849.2611443863634,1848.5684471150407,1472.5385143411638,2167.7054289986213,1125.9896974958783,1579.9661061985641
IND,1647.3369780477535,1320.0254636222107,1604.5075290402883,1392.6691204793335,1146.1988426317137,1229.3512935241872,2412.529582452353,684.7992163025456,2914.88885478019,2914.88885478019,618.1744613681864,688.7189940042414,1109.581387512125,3120.135611235257,3036.9859714027593,793.0878661026406,1612.5913002569348,0.0,939.7762074462512,1040.9383659408356,1039.5879495311378,2184.9209318773715,424.0507148429211,267.68844613703385,1299.2326854151256,406.9151194424904,392.86861216381095,709.3760896143411,823.7579646611877,3034.3020647519775
PHI,1634.047112224672,1383.275433278458,2417.9523896980495,2155.4664823772246,1749.334946342757,2089.7698513504038,3350.3919034958726,1067.623391818561,3854.184143905867,3854.184143905867,1415.32127451064,720.9985778003872,2025.6139609474103,4043.6519657503063,3956.110730189255,194.35583405916535,2542.375308287751,939.7762074462512,0.0,133.75656311741156,137.54907674148134,3099.6068242623637,578.3722559185622,1075.2669176229601,440.3719107839512,743.6753685428249,1119.0268832553236,543.1066289752173,1588.5589890458211,3882.6531661735676
BKN,1749.974051937881,1507.3566811616856,2544.536464269985,2284.5690320402878,1882.336427180181,2211.2582713731504,3453.391743375219,1201.0835191075628,3949.661741451279,3949.661741451279,1538.7950558669395,854.5542751643145,2137.924791795487,4125.43398713108,4035.75954239564,327.6070615273121,2629.9769094019175,1040.9383659408356,133.75656311741184,0.0,7.696579787948297,3178.6710744583957,654.1347567911354,1154.1117544982637,306.6489554379197,803.1003631278382,1185.3975271596858,554.425837053872,1644.1732799547412,3938.5288425767817
