,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month,home,away,fl_home
5896,SAC @ POR 2016-03-28,POR,240.0,38.0,80.0,0.475,14.0,29.0,0.483,15.0,18.0,0.833,5.0,37.0,42.0,25.0,6.0,10.0,19.0,23.0,105.0,,0.597,0.563,0.363,0.225,13.5,77.1,49.4,65.8,6.1,13.5,17.8,100.0,106.1,94.0,201603,POR,SAC,1
5897,SAC @ POR 2016-03-28,SAC,240.0,37.0,89.0,0.416,7.0,15.0,0.467,12.0,19.0,0.632,11.0,32.0,43.0,20.0,11.0,2.0,14.0,20.0,93.0,,0.478,0.455,0.16899999999999998,0.213,22.9,86.5,50.6,54.1,11.1,3.9,12.6,100.0,94.0,106.1,201603,POR,SAC,0
5898,SAC @ POR 2016-11-11,POR,265.0,45.0,86.0,0.523,13.0,33.0,0.394,19.0,27.0,0.7040000000000001,7.0,29.0,36.0,29.0,8.0,4.0,11.0,24.0,122.0,,0.623,0.599,0.384,0.314,16.7,69.0,42.9,64.4,7.9,6.0,10.1,100.0,120.4,118.5,201611,POR,SAC,1
5899,SAC @ POR 2016-11-11,SAC,265.0,43.0,88.0,0.489,6.0,21.0,0.28600000000000003,28.0,35.0,0.8,13.0,35.0,48.0,18.0,7.0,3.0,15.0,21.0,120.0,,0.58,0.523,0.239,0.398,31.0,83.3,57.1,41.9,6.9,5.7,12.7,100.0,118.5,120.4,201611,POR,SAC,0
5900,SAC @ POR 2016-12-28,POR,240.0,35.0,74.0,0.473,12.0,25.0,0.48,20.0,22.0,0.909,5.0,40.0,45.0,19.0,6.0,4.0,15.0,16.0,102.0,,0.609,0.5539999999999999,0.338,0.297,13.2,87.0,53.6,54.3,6.5,7.8,15.2,100.0,110.4,96.3,201612,POR,SAC,1
5901,SAC @ POR 2016-12-28,SAC,240.0,31.0,79.0,0.392,9.0,28.0,0.321,18.0,23.0,0.7829999999999999,6.0,33.0,39.0,20.0,8.0,3.0,11.0,20.0,89.0,,0.499,0.449,0.354,0.29100000000000004,13.0,86.8,46.4,64.5,8.7,6.1,11.0,100.0,96.3,110.4,201612,POR,SAC,0
5902,SAC @ POR 2017-11-18,POR,240.0,38.0,70.0,0.5429999999999999,10.0,21.0,0.476,16.0,21.0,0.762,5.0,39.0,44.0,19.0,6.0,8.0,17.0,22.0,102.0,,0.644,0.614,0.3,0.3,15.6,81.3,55.0,50.0,6.4,11.1,17.7,100.0,109.6,96.7,201711,POR,SAC,1
5903,SAC @ POR 2017-11-18,SAC,240.0,34.0,89.0,0.382,8.0,17.0,0.471,14.0,18.0,0.778,9.0,27.0,36.0,14.0,9.0,4.0,11.0,24.0,90.0,,0.464,0.4270000000000001,0.191,0.202,18.8,84.4,45.0,41.2,9.7,8.2,10.2,100.0,96.7,109.6,201711,POR,SAC,0
5904,SAC @ SAS 2016-03-05,SAC,240.0,37.0,81.0,0.457,6.0,16.0,0.375,14.0,21.0,0.667,7.0,26.0,33.0,21.0,13.0,4.0,19.0,19.0,94.0,,0.521,0.494,0.198,0.259,16.7,70.3,41.8,56.8,13.2,6.9,17.4,100.0,95.4,105.5,201603,SAS,SAC,0
5905,SAC @ SAS 2016-03-05,SAS,240.0,40.0,81.0,0.494,8.0,23.0,0.348,16.0,19.0,0.8420000000000001,11.0,35.0,46.0,31.0,6.0,5.0,21.0,21.0,104.0,,0.5820000000000001,0.5429999999999999,0.284,0.235,29.7,83.3,58.2,77.5,6.1,7.7,19.0,100.0,105.5,95.4,201603,SAS,SAC,1
5906,SAC @ SAS 2017-03-08,SAC,240.0,42.0,86.0,0.488,7.0,19.0,0.368,13.0,16.0,0.813,5.0,37.0,42.0,20.0,7.0,3.0,13.0,22.0,104.0,,0.5589999999999999,0.529,0.221,0.18600000000000005,11.9,86.0,49.4,47.6,7.1,5.5,12.3,100.0,105.1,115.2,201703,SAS,SAC,0
